book_id,goodreads_book_id,authors,original_publication_year,title,language_code,image_url,book_id_diff
1,2767052,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",eng,https://images.gr-assets.com/books/1447303603m/2767052.jpg,0
2,3,J.K. Rowling,1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,https://images.gr-assets.com/books/1474154022m/3.jpg,0
3,41865,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",eng,https://images.gr-assets.com/books/1361039443m/41865.jpg,0
4,2657,Harper Lee,1960.0,To Kill a Mockingbird,eng,https://images.gr-assets.com/books/1361975680m/2657.jpg,0
5,4671,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng,https://images.gr-assets.com/books/1490528560m/4671.jpg,0
6,11870085,John Green,2012.0,The Fault in Our Stars,eng,https://images.gr-assets.com/books/1360206420m/11870085.jpg,0
7,5907,J.R.R. Tolkien,1937.0,The Hobbit,eng,https://images.gr-assets.com/books/1372847500m/5907.jpg,0
8,5107,J.D. Salinger,1951.0,The Catcher in the Rye,eng,https://images.gr-assets.com/books/1398034300m/5107.jpg,0
9,960,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",eng,https://images.gr-assets.com/books/1303390735m/960.jpg,0
10,1885,Jane Austen,1813.0,Pride and Prejudice,eng,https://images.gr-assets.com/books/1320399351m/1885.jpg,0
11,77203,Khaled Hosseini,2003.0,The Kite Runner,eng,https://images.gr-assets.com/books/1484565687m/77203.jpg,0
12,13335037,Veronica Roth,2011.0,"Divergent (Divergent, #1)",eng,https://images.gr-assets.com/books/1328559506m/13335037.jpg,0
13,5470,George Orwell,1949.0,1984,eng,https://images.gr-assets.com/books/1348990566m/5470.jpg,0
14,7613,George Orwell,1945.0,Animal Farm,eng,https://images.gr-assets.com/books/1424037542m/7613.jpg,0
15,48855,Anne Frank,1947.0,The Diary of a Young Girl,eng,https://images.gr-assets.com/books/1358276407m/48855.jpg,0
16,2429135,Stieg Larsson,2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,https://images.gr-assets.com/books/1327868566m/2429135.jpg,0
17,6148028,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",eng,https://images.gr-assets.com/books/1358273780m/6148028.jpg,0
18,5,J.K. Rowling,1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,https://images.gr-assets.com/books/1499277281m/5.jpg,0
19,34,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,https://images.gr-assets.com/books/1298411339m/34.jpg,0
20,7260188,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",eng,https://images.gr-assets.com/books/1358275419m/7260188.jpg,0
21,2,J.K. Rowling,2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,https://images.gr-assets.com/books/1387141547m/2.jpg,0
22,12232938,Alice Sebold,2002.0,The Lovely Bones,eng,https://images.gr-assets.com/books/1457810586m/12232938.jpg,0
23,15881,J.K. Rowling,1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,https://images.gr-assets.com/books/1474169725m/15881.jpg,0
24,6,J.K. Rowling,2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,https://images.gr-assets.com/books/1361482611m/6.jpg,0
25,136251,J.K. Rowling,2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,https://images.gr-assets.com/books/1474171184m/136251.jpg,0
26,968,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",eng,https://images.gr-assets.com/books/1303252999m/968.jpg,0
27,1,J.K. Rowling,2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,https://images.gr-assets.com/books/1361039191m/1.jpg,0
28,7624,William Golding,1954.0,Lord of the Flies,eng,https://images.gr-assets.com/books/1327869409m/7624.jpg,0
29,18135,William Shakespeare,1595.0,Romeo and Juliet,eng,https://images.gr-assets.com/books/1327872146m/18135.jpg,0
30,8442457,Gillian Flynn,2012.0,Gone Girl,eng,https://images.gr-assets.com/books/1339602131m/8442457.jpg,-10845586
31,4667024,Kathryn Stockett,2009.0,The Help,eng,https://images.gr-assets.com/books/1346100365m/4667024.jpg,0
32,890,John Steinbeck,1937.0,Of Mice and Men,eng,https://images.gr-assets.com/books/1437235233m/890.jpg,0
33,930,Arthur Golden,1997.0,Memoirs of a Geisha,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1
34,10818853,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",eng,https://images.gr-assets.com/books/1385207843m/10818853.jpg,0
35,865,Paulo Coelho,1988.0,The Alchemist,eng,https://images.gr-assets.com/books/1483412266m/865.jpg,0
36,3636,Lois Lowry,1993.0,"The Giver (The Giver, #1)",eng,https://images.gr-assets.com/books/1342493368m/3636.jpg,0
