book_id,tag_id,tag_name
1,36,teen
1,23,kids
1,34,sci-fi
1,9,children
1,27,mystery
1,32,romance
1,16,english
1,12,coming-of-age
1,13,contemporary
1,29,paranormal
1,4,all-time-favorites
1,3,adventure
1,26,magic
1,18,fantasy
1,10,classics
1,8,british
2,26,magic
2,10,classics
2,34,sci-fi
2,16,english
2,12,coming-of-age
2,1,action
2,23,kids
2,32,romance
2,36,teen
2,8,british
2,29,paranormal
2,4,all-time-favorites
2,9,children
2,18,fantasy
2,27,mystery
3,23,kids
3,34,sci-fi
3,29,paranormal
3,27,mystery
3,18,fantasy
3,36,teen
3,16,english
3,19,friendship
3,13,contemporary
3,10,classics
3,8,british
3,9,children
3,3,adventure
3,26,magic
3,4,all-time-favorites
5,36,teen
5,34,sci-fi
5,23,kids
5,9,children
5,29,paranormal
5,27,mystery
5,19,friendship
5,16,english
5,13,contemporary
5,8,british
5,3,adventure
5,18,fantasy
5,4,all-time-favorites
5,26,magic
5,10,classics
6,36,teen
6,23,kids
6,34,sci-fi
6,13,contemporary
6,10,classics
6,16,english
6,12,coming-of-age
6,19,friendship
6,9,children
6,4,all-time-favorites
6,3,adventure
6,18,fantasy
6,29,paranormal
6,27,mystery
6,8,british
8,35,suspense
8,10,classics
8,13,contemporary
8,36,teen
8,34,sci-fi
8,8,british
8,16,english
8,1,action
8,11,comedy
8,9,children
8,3,adventure
8,29,paranormal
8,26,magic
8,18,fantasy
8,25,love
8,27,mystery
8,4,all-time-favorites
10,36,teen
10,19,friendship
10,23,kids
10,9,children
10,18,fantasy
10,8,british
10,1,action
10,27,mystery
10,13,contemporary
10,10,classics
10,34,sci-fi
10,3,adventure
10,26,magic
10,29,paranormal
10,25,love
10,16,english
10,4,all-time-favorites
11,4,all-time-favorites
11,34,sci-fi
11,13,contemporary
11,10,classics
11,3,adventure
11,11,comedy
11,18,fantasy
11,24,literature
11,2,adult
11,16,english
11,36,teen
11,7,bookclub
11,8,british
13,13,contemporary
13,2,adult
13,36,teen
13,30,philosophy
13,11,comedy
13,34,sci-fi
13,10,classics
13,18,fantasy
13,3,adventure
13,24,literature
13,8,british
13,4,all-time-favorites
13,16,english
21,5,american
21,7,bookclub
21,4,all-time-favorites
21,11,comedy
21,20,historical
21,30,philosophy
21,34,sci-fi
21,28,non-fiction
21,21,history
21,2,adult
21,16,english
24,13,contemporary
24,7,bookclub
24,16,english
24,4,all-time-favorites
24,6,biography
24,11,comedy
24,3,adventure
24,21,history
24,28,non-fiction
24,2,adult
25,13,contemporary
25,24,literature
25,16,english
25,3,adventure
25,11,comedy
25,5,american
25,6,biography
25,28,non-fiction
25,21,history
25,34,sci-fi
25,7,bookclub
25,2,adult
26,7,bookclub
26,2,adult
26,5,american
26,11,comedy
26,6,biography
26,28,non-fiction
26,13,contemporary
26,16,english
26,21,history
26,3,adventure
27,13,contemporary
27,7,bookclub
27,11,comedy
27,6,biography
27,28,non-fiction
27,21,history
27,16,english
27,5,american
27,3,adventure
27,2,adult
28,5,american
28,7,bookclub
28,8,british
28,11,comedy
28,6,biography
28,16,english
28,28,non-fiction
28,3,adventure
28,13,contemporary
28,2,adult
28,21,history
29,11,comedy
29,8,british
29,24,literature
29,16,english
29,13,contemporary
29,2,adult
29,20,historical
29,21,history
29,28,non-fiction
29,7,bookclub
30,1,action
30,9,children
30,29,paranormal
30,8,british
30,36,teen
30,34,sci-fi
30,4,all-time-favorites
30,26,magic
30,10,classics
30,3,adventure
30,18,fantasy
30,37,war
30,2,adult
33,2,adult
33,37,war
33,9,children
33,36,teen
33,34,sci-fi
33,24,literature
33,4,all-time-favorites
33,3,adventure
33,10,classics
33,18,fantasy
33,16,english
33,8,british
33,26,magic
34,9,children
34,37,war
34,26,magic
34,36,teen
34,34,sci-fi
34,3,adventure
34,10,classics
34,18,fantasy
34,24,literature
34,16,english
34,8,british
34,2,adult
34,4,all-time-favorites
36,34,sci-fi
36,28,non-fiction
36,18,fantasy
36,2,adult
36,37,war
50,36,teen
50,13,contemporary
50,1,action
50,23,kids
50,9,children
50,33,school
50,10,classics
50,3,adventure
50,12,coming-of-age
67,7,bookclub
67,2,adult
67,24,literature
67,10,classics
67,4,all-time-favorites
67,5,american
67,20,historical
67,21,history
67,13,contemporary
93,3,adventure
93,7,bookclub
93,19,friendship
93,12,coming-of-age
93,33,school
93,36,teen
93,9,children
93,20,historical
93,23,kids
93,10,classics
93,17,family
93,24,literature
98,16,english
98,9,children
98,17,family
98,28,non-fiction
98,2,adult
98,23,kids
105,2,adult
105,5,american
105,30,philosophy
105,4,all-time-favorites
105,34,sci-fi
105,10,classics
105,18,fantasy
105,24,literature
105,16,english
105,3,adventure
106,30,philosophy
106,3,adventure
106,2,adult
106,5,american
106,34,sci-fi
106,10,classics
106,18,fantasy
106,16,english
106,24,literature
112,3,adventure
112,34,sci-fi
112,30,philosophy
112,5,american
112,2,adult
112,16,english
112,10,classics
112,18,fantasy
112,24,literature
117,5,american
117,30,philosophy
117,10,classics
117,34,sci-fi
117,2,adult
117,24,literature
117,18,fantasy
117,3,adventure
117,16,english
119,34,sci-fi
119,10,classics
119,28,non-fiction
119,18,fantasy
119,16,english
119,2,adult
122,13,contemporary
122,28,non-fiction
122,3,adventure
122,24,literature
122,33,school
122,37,war
